Nama Anda;Ada Apa dengan Cinta 2;Gundala;Dilan 1991;Bumi Manusia ;Dua Garis Biru;Avengers: End Game;The Lion King;Aladdin;Spiderman: Far From Home;Captain Marvel
Hania;3;5;4;4;4;0;0;0;0;0
Topik Zulkarnain;0;0;0;0;0;5;5;0;4;2
AhokTemanFirli;0;0;0;0;0;3;0;0;0;4
franadek;4;4;4;5;3;5;4;5;4;4
OM INDRA;3;0;2;0;5;5;0;1;5;5
Mulya;0;0;0;0;0;4;2;5;4;3
Genjeh;5;4;3;0;0;5;0;5;4;4
faizah;3;0;5;5;4;5;0;0;0;0
Dpv;5;4;4;0;0;5;0;0;5;5
Putrisqiana;4;3;2;4;3;5;0;0;4;3
Nonton_Saat_Diskon;4;3;3;0;0;5;5;5;4;5
Romantika;5;0;5;0;0;0;0;0;0;0
ANI;4;0;4;5;0;0;0;4;3;4
Rima;5;5;5;4;3;5;4;5;5;5
bunga;0;4;4;0;0;5;5;5;5;5
Jawaharal;2;4;3;0;5;5;4;5;5;4
Febi ganteng gak ada obat;4;3;4;0;0;5;0;5;5;4
Star;4;4;0;0;0;5;5;5;0;5
Indra Junior;4;0;0;0;4;5;5;5;5;5
Indra 1991 SM;0;5;0;0;0;0;0;0;0;0
Damar Teman Firli;5;0;0;0;0;5;0;0;5;0
jul;0;3;0;0;3;3;3;3;3;3
luck;3;0;0;0;0;4;0;0;0;2
Maria O.;0;0;0;0;0;0;5;4;0;0
