Title;Genre;Director;Actors
Ada Apa dengan Cinta 2;Romance, Drama;Riri Riza;Nicholas Saputra, Dian Sastrowardoyo, Adinia Wirasti
Gundala;Action, Drama;Joko Anwar;Tara Basro, Abimana Aryasatya, Lukman Sardi
Dilan 1991;Romance, Drama;Pidi Baiq;Iqbaal Ramadhan, Vanesha Prescilla
Bumi Manusia;Drama, History;Hanung Bramantyo;Iqbaal Ramadhan, Mawar Eva
Dua Garis Biru;Drama;Ginatri Noer;Adhisty Zara, Angga Yunanda
Avengers: End Game;Action, Fiction;Joe Russo;Robert Downey, Chris Evans, Chris Hemworth
The Lion King;Drama, Adventure;Jon Favreau;Donald Glover, Beyonce
Aladdin;Romance, Fantasy;Guy Ritchie;Naomi Scott, Mena Massoud
Spiderman: Far From Home;Fantasy, Fiction;Jon Watts;Tom Holland, Zendaya
Captain Marvel;Fiction;Anna Boden;Brie Larson, Samuel Jackson
